Index,Timestamp,lat,long,Obs1_bird_dist,Shoot_bird_dist,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,SocialGroup,Target,TarSpp,Scientific,BirdTree,Alarm_Presence,Alarm_Qty,Alarm_Spp,Alarm_Sex,Alarm_Conspecific,abundance,richness,Angle,Tar_Sex,Proximity,alarm,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_Under_Avg,Veg_under_height,Pre_Bird_Dense,Bird_Dense_Avg,Pre_Vocal,Pre_Behav,Mid_Vocal,Mid_Behav,Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist,Post_Bird_Height,Post_Bird_Dense,Post_Dense_Avg,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_10_Avg,flock
148,230724-092728,-12.53753,-69.00421,4,na,1,tree,no,pair,1,myhy,,,0,0,none,n,0,2,1,0,m,1,,q,17,3,1,2,2,1111,1,5,1112,1.25,quiet,glean,quiet,forage,quiet,gl,0,0,2,1112,1.25,8,12,17,26,2,3,2,2,1,1,2,3,1,1,1.8,na
149,230724-092728,na,na,na,na,1,tree,no,pair,1,myhy,,,,,,,,,,na,na,5,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,8,12,17,26,na,na,na,na,na,na,na,na,na,na,0,na
150,230724-105944,-12.829,-69.00251,4,na,1,tree,gap,pair,1,sche,,,0,0,none,n,0,2,1,na,m,3,,q,21,4,3,1,2,2332,2.5,3,3322,2.5,quiet,glean,quiet,fz,quiet,vs,270,0,1,3322,2.5,9,17,19,30,3,4,2,3,1,1,2,1,1,1,1.9,na
151,230724-105944,na,na,na,na,1,tree,gap,pair,1,sche,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,9,17,19,30,na,na,na,na,na,na,na,na,na,na,0,na
153,230724-132158,-12.53839,-68.99743,10,na,1,tree,palm,lek,1,pifa,,,0,0,none,n,0,1,1,na,m,1,,q,22,4,1,5,7,2133,2.25,4,0121,1,call,ss_lek,quiet,dv,quiet,frz,590,3,4,1111,1,7,14,22,40,2,1,1,2,2,1,3,2,2,2,1.8,na
155,230725-083057,-12.533716,-69.009033,8,na,2,tree,vine,lek,1,pifa,,,0,0,none,n,0,2,1,na,m,2,,q,17,3,2,3,6,1123,1.75,3,3211,1.75,call,ss_lek,quiet,dv,quiet,frz,540,2,3,1002,0.75,6,13,22,27,3,3,1,2,1,2,2,1,1,1,1.7,na
156,230725-083057,na,na,na,na,2,tree,vine,lek,1,pifa,,,,,,,,,,na,m,2,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,13,22,27,na,na,na,na,na,na,na,na,na,na,0,na
166,230727-065504,-12.527276,-69.016339,7,na,banana,fern,mowed,msf,1,raca,,,1,1,raco,m,1,11,5,na,m,2,,a,16,5,2,7,8,1010,0.5,0,2222,2,call,py,alarm,dv,c,vs_sit,0,11,4,2322,2.25,7,8,no,no,1,1,1,3,2,1,2,1,0,0,1.2,na
167,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
168,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
169,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
170,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
171,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
172,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,raca,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
173,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,vich,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
174,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,vich,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
175,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,tuoc,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
176,230727-065504,na,na,na,na,banana,fern,mowed,msf,1,xeru,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,8,no,no,na,na,na,na,na,na,na,na,na,na,0,na
177,230727-082936,-12.52710,-69.01636,11,na,banana_2,fern,tree,msf,1,gacy,,,0,0,none,n,0,2,2,na,u,3,,q,17,9,3,11,14,1011,0.75,3,2101,1,call,ss,quiet,vs,quiet,vs,0,0,11,2101,1,9,14,14,19,1,1,2,3,3,2,2,3,3,3,2.3,na
178,230727-082936,na,na,na,na,banana_2,fern,tree,msf,1,raca,,,,,,,,,,na,na,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,9,14,14,19,na,na,na,na,na,na,na,na,na,na,0,na
180,230727-104229,-12.52682,-69.01499,8,na,2,tree,heli,pair,1,toch,,,0,0,none,n,0,2,1,na,u,1,,q,17,5,1,5,9,2222,2,3,1111,1,call,ss,quiet,dv,c,vs,0,1,6,2111,1.25,5,9,11,27,1,1,2,2,2,2,3,2,2,2,1.9,na
181,230727-104229,na,na,na,na,2,tree,heli,pair,1,toch,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,9,11,27,na,na,na,na,na,na,na,na,na,na,0,na
182,230728-082620,-12.52743,-69.01612,9,na,banana,mowed,no,msf,1,euri,,,0,0,none,n,0,7,2,na,m,1,,q,16,5,1,5,9,1000,0.25,0,2000,0.5,quiet,pe,quiet,dv,quiet,u,0,8,4,3433,3.25,6,10,no,no,1,1,2,3,2,2,2,2,1,1,1.7,na
183,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
184,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
185,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
186,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
187,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
188,230728-082620,na,na,na,na,banana,mowed,no,msf,1,raca,,,,,,,,,,na,u,9,,na,na,na,na,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,no,no,na,na,na,na,na,na,na,na,na,na,0,na
189,230728-090119,-12.52831,-69.01623,13,na,swamp,open,dead,solo,1,moni,,,0,0,none,n,0,1,1,na,u,9,,q,23,6,9,5,13,1202,1.25,1,2212,1.75,quiet,preen_sit,quiet,vs,quiet,sh,0,0,5,2212,1.75,5,12,22,30,1,2,2,2,2,1,1,1,3,3,1.8,na
190,230728-110440,-12.52859,-69.01465,6,na,2,tree,no,solo,1,myax,,,0,0,none,n,0,1,1,na,f,2,,q,15,3,2,4,5,2211,1.5,1,2312,2,call,glean,quiet,forage,quiet,glean,0,0,4,2312,2,6,13,15,17,2,1,1,2,4,3,4,3,3,3,2.6,na
191,230728-115051,-12.526997,-69.015859,3,na,2,bamboo,tree,solo,1,moni,,,0,0,none,n,0,1,1,na,u,1,,q,15,2,1,2,5,2122,1.75,5,1022,1.25,quiet,vs,quiet,dv,c,vs,0,7,9,3311,2,7,11,8,16,3,2,4,3,2,2,4,2,2,2,2.6,na
192,230729-090321,-12.532263,-69.009572,5,na,2,tree,palm,solo,1,livo,,,0,0,none,n,0,1,1,na,u,2,,q,14,3,2,4,6,2222,2,4,1223,2,song,sit,quiet,dv,s,s,0,12,6,2222,2,6,17,29,42,3,2,3,2,2,2,2,1,1,1,1.9,na
193,230729-101604,-12.53196,-69.00874,11,na,2,tree,no,msf,1,thsy,,,1,1,thsy,f,0,17,15,na,f,2,,a,21,3,2,3,6,3222,2.25,6,3212,2,quiet,vs,alarm,"fz ,vs",c,ss,10,4,3,3321,2.25,5,17,20,34,3,3,3,3,2,1,2,1,1,1,2,na
194,230729-101604,na,na,na,na,2,tree,no,msf,1,thar,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
195,230729-101604,na,na,na,na,2,tree,no,msf,1,myhy,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
196,230729-101604,na,na,na,na,2,tree,no,msf,1,myhy,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
197,230729-101604,na,na,na,na,2,tree,no,msf,1,foan,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
198,230729-101604,na,na,na,na,2,tree,no,msf,1,lele,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
199,230729-101604,na,na,na,na,2,tree,no,msf,na,scma,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
200,230729-101604,na,na,na,na,2,tree,no,msf,1,phpy,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
201,230729-101604,na,na,na,na,2,tree,no,msf,1,myga,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
202,230729-101604,na,na,na,na,2,tree,no,msf,1,cyli,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
203,230729-101604,na,na,na,na,2,tree,no,msf,1,myax,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,6,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,17,20,34,na,na,na,na,na,na,na,na,na,na,0,na
