na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
33,230709-084511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
34,230709-084511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
35,230709-084511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,catu,Campylorhynchus turdinus,Campylorhynchus turdinus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
36,230709-084511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myat,Myrmophylax atrothorax,Myrmeciza fortis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,10.1,13.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
37,230711-064847,-12.52914,-69.01373,VW,13,AM,13,na,na,1,na,na,na,na,na,na,0,solo,0,foan,Formicarius analis,Formicarius analis,na,U,na,q,21,4,5,0,na,3334,na,3334,sing,u,silent,u,silent,u,na,u,0,3334,12.1,14,18,na,na,na,na,na,na,na,na,na,na,na,na,"went quiet, never seen",na,na,na,na,20230711_064847_hwk_FOAN.wav,na,na,na,na,na,na,0,na
38,230711-083202,-12.535378,-69.010711,vw,14,am,16,na,na,0,na,na,na,na,na,na,1,msf,1,myme,Myrmotherula menetriesii,Myrmotherula menetriesii,na,m,na,c,25,4,2,5,8,2333,na,3322,call,glean,call,dv,call,leave,na,8,9.4,2213,9.3,13,15.5,na,na,na,na,na,na,na,na,na,na,na,na,"flew away, called a little",the bird was close to a a THAR and a MYME f and they all dispersed from the target area in seemingly random directions. They called for a little while departing and didn’t return,na,na,na,20230711_083202_Hwk_MYME.wav,na,na,na,na,na,na,0,
39,230711-083202,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.3,13,15.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
40,230711-092039,-12.5338,-69.00841,vw,5,am,12,na,na,0,na,na,na,na,na,na,1,msf,1,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,na,f,na,q,18,3,3,2,4,3343,na,3332,call,glean,quiet,preen,quiet,preen,na,0,2,3332,9.4,15.9,18,na,na,na,na,na,na,na,na,na,na,na,na,"no reaction, not even phased, kept preening",male flew in with female and also preened,na,na,na,na,na,na,na,na,na,na,0,
41,230711-092039,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,1,msf,1,myme,Myrmotherula menetriesii,Myrmotherula menetriesii,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.4,15.9,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
42,230711-095636,-12.53413,-69.00565,vw,14,am,16,na,na,1,na,na,na,na,na,na,1,pair,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,na,a,15,4,11,12,25,1112,na,1111,quiet,sit,alarm,vs,quiet,sit,na,0,12,1111,8,10,21,25,na,na,na,na,na,na,na,na,na,na,na,short quiet whistle from both,"facing general hawk flight direction, but moved its head in the direction of the hawk, what I called VS. Looked for about 1 min in direction then resumed sitting as Pre flight.",na,na,edge of swamp,20230711_095636_Hwk_MONI_111.wav,na,na,na,na,na,20230711_095636_Monasa_nigrifrons_u_a.wav,1,na
43,230711-095636,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,pair,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,10,21,25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
